District,Sub-District,Estate,Total po...Total population,Sex ratio,< 15,15 - 39,40 - 64,65+,Male,Female,Both sexes,Never-ma...Never-married male,Never-ma...Never-married female,Cantonese,Putonghu...Putonghua and other Chinese dialects,English ...English and other languages,Hong Kong,The main...The mainland of China/ Macao/ Taiwan,Elsewhere,Primary ...Primary and below,Secondary,Post-sec...Post-secondary,Studying...Studying and living  in the same District Council district,Mass Tra...Mass Transit Railway,On foot only,Bus,School b...School bus/ school private light bus,Others,Working ...Working population,Employees,Employers,Self-emp...Self-employed and unpaid family workers,Non-work...Non-working population,Students,Non-students,Managers...Managers and administrators,Professi...Professionals and associate professionals,"Clerical...Clerical support, service and sales workers","Craft an...Craft and related workers, plant and machine operators and assemblers","Elementa...Elementary occupations , skilled agricultural and fishery workers and occupations not classifiable","Import/e...Import/export, wholesale and retail trades, accommodation and food services","Transpor...Transportation, storage, postal and courier services, information and communications, financing and insurance, real estate, professional and business services","Public a...Public administration, education, human health and social work activities, miscellaneous social and personal services","Manufact...Manufacturing, construction, and other industries",Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Working ...Working and living in the same District Council district(including those working at home)^,Mass Tra...Mass Transit Railway,Bus,On foot only,Public l...Public light bus,Others,Number o...Number of domestic households,1-3,4,5+,Average ...Average domestic household size,Nuclear ...Nuclear family households,Relative...Relative households,Other ho...Other households,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Median age,Chinese,Non-Chinese,1-2,3,4,5+,Without ...Without exclusively used rooms,Per dome...Per domestic household,Per person,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,"Owner-oc...Owner-occupier, with mortgage payment or loan repayment","Owner-oc...Owner-occupier, without mortgage payment and loan repayment",Sole tenant,Others ,Median m...Median monthly mortgage payment and loan repayment,Median m...Median mortgage payment and loan repayment to income ratio,Median o...Median outstanding period of mortgage payment or loan repayment,Median m...Median monthly household rent,Median h...Median household rent to income ratio,Remained...Remained in same address,Resided ...Resided in same District Council district (having migrated),Resided ...Resided in different District Council district (having migrated) ,Resided ...Resided outside Hong Kong
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate Block 10-11 (Shek Li Street 1960's)                                                                                                                                                                                         ,1250,1372,21.8%,35.2%,37.7%,5.3%,36.4,38.5,37.5,18.7%,22.3%,85.8%,14.2%,0.0%,32.8%,66.4%,0.8%,22.8%,58.6%,18.5%,57.2%,10.2%,40.9%,24.6%,19.7%,4.5%,554,88.8%,0.0%,11.2%,696,39.9%,60.1%,0.0%,12.3%,23.1%,26.4%,38.3%,27.3%,25.6%,5.4%,41.7%,HK$15500,HK$12000,HK$9000,HK$15500,HK$12000,HK$9000,49hours,43hours,39hours,49hours,43hours,39hours,16.8%,24.6%,34.2%,8.6%,21.9%,10.7%,(N.A.)–Not available,76.0%,18.0%,5.9%,2.2,47.7%,7.3%,44.9%,HK$19990,HK$13850,HK$8000,HK$19990,HK$13850,HK$8000,48.3,100.0%,0.0%,89.3%,10.7%,0.0%,0.0%,0.0%,1.44rooms,0.66rooms,19m²,13m²,13m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$700,5.9%,52.2%,25.4%,20.4%,2.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate - Shek Kai House (Lei Pui Street 1990's)                                                                                                                                                                                    ,1812,751,7.9%,32.7%,39.8%,19.5%,43.9,51.1,46.9,42.0%,33.1%,93.9%,4.8%,1.3%,54.4%,42.1%,3.6%,34.0%,44.5%,21.5%,48.1%,25.5%,32.1%,13.6%,20.2%,8.6%,874,89.5%,1.4%,9.2%,938,24.5%,75.5%,3.2%,15.8%,30.4%,21.3%,29.3%,22.3%,44.1%,13.2%,20.5%,HK$15500,HK$11750,HK$9250,HK$16000,HK$12000,HK$9500,50hours,43hours,32hours,48hours,43hours,32hours,32.2%,23.3%,35.2%,14.9%,22.8%,3.8%,(N.A.)–Not available,66.7%,20.0%,13.3%,2.9,57.7%,23.5%,18.9%,HK$34290,HK$21330,HK$10250,HK$33000,HK$21000,HK$10250,62.1,98.6%,1.4%,19.0%,66.4%,14.6%,0.0%,0.0%,2.90rooms,1.01rooms,44m²,35m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1750,8.5%,93.8%,4.2%,0.0%,1.9%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate - Shek Yi House (Shek Li Street 2000's)                                                                                                                                                                                     ,2189,988,15.0%,30.1%,43.2%,11.7%,38.5,44.6,42.7,30.8%,19.3%,91.9%,5.9%,2.2%,43.0%,55.2%,1.8%,25.2%,65.9%,8.9%,75.9%,7.9%,51.2%,26.8%,4.2%,9.8%,936,93.5%,0.0%,6.5%,1253,37.4%,62.6%,0.0%,9.8%,41.3%,17.3%,31.5%,30.0%,27.6%,22.3%,20.1%,HK$14660,HK$11750,HK$8800,HK$14660,HK$12000,HK$8850,49hours,45hours,40hours,49hours,45hours,40hours,27.8%,18.4%,46.6%,10.3%,16.9%,7.9%,(N.A.)–Not available,66.8%,27.5%,5.7%,2.8,69.6%,13.2%,17.2%,HK$25600,HK$18500,HK$10520,HK$25600,HK$18500,HK$10520,53.0,98.9%,1.1%,62.2%,36.9%,0.0%,0.9%,0.0%,2.19rooms,0.78rooms,30m²,22m²,22m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1750,9.3%,91.5%,5.8%,1.7%,1.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate - Shek Wai House (Shek Li Street 2000's)                                                                                                                                                                                    ,2797,1012,27.5%,34.1%,36.6%,1.8%,23.7,35.4,32.4,32.7%,26.0%,92.4%,6.3%,1.3%,55.1%,43.3%,1.6%,13.5%,73.2%,13.3%,75.7%,9.7%,54.5%,21.7%,4.9%,9.2%,1064,92.7%,2.0%,5.4%,1733,58.3%,41.7%,4.1%,13.5%,37.4%,20.6%,24.3%,28.4%,30.8%,16.0%,24.8%,HK$16500,HK$13000,HK$9900,HK$16500,HK$13000,HK$10000,54hours,45hours,40hours,54hours,45hours,40hours,37.7%,18.4%,29.6%,20.6%,20.7%,10.7%,(N.A.)–Not available,41.8%,42.8%,15.4%,3.6,91.5%,6.1%,2.5%,HK$26250,HK$18800,HK$15000,HK$26250,HK$18280,HK$15000,48.0,99.0%,1.0%,15.7%,81.9%,2.5%,0.0%,0.0%,2.81rooms,0.78rooms,30m²,30m²,30m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1810,10.6%,95.4%,3.0%,1.6%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate - Shek Cheung House (Tai Pak Tin Street 2000's)                                                                                                                                                                             ,2902,953,12.2%,38.6%,36.0%,13.3%,36.6,40.7,39.1,42.0%,34.1%,93.7%,4.3%,2.0%,51.7%,43.5%,4.8%,25.6%,50.7%,23.7%,76.2%,16.4%,45.1%,15.7%,6.0%,16.8%,1444,96.3%,1.4%,2.4%,1458,38.1%,61.9%,4.2%,24.3%,35.8%,13.5%,22.2%,32.8%,35.9%,16.6%,14.8%,HK$18000,HK$13000,HK$9750,HK$18000,HK$13500,HK$10000,49hours,45hours,40hours,49hours,44hours,40hours,26.9%,18.6%,44.8%,9.6%,21.6%,5.4%,(N.A.)–Not available,41.7%,34.8%,23.4%,3.7,69.6%,29.1%,1.3%,HK$36250,HK$27000,HK$22490,HK$35000,HK$27000,HK$20150,56.7,98.6%,1.4%,11.5%,73.1%,14.6%,0.8%,0.0%,3.03rooms,0.82rooms,43m²,43m²,43m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2630,9.2%,91.7%,4.0%,4.3%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate - Shek Fu House (Tai Pak Tin Street 2000's)                                                                                                                                                                                 ,1991,797,8.7%,32.2%,34.2%,24.9%,42.7,49.0,46.4,35.6%,25.0%,95.7%,4.3%,0.0%,34.0%,62.9%,3.1%,37.4%,49.2%,13.4%,88.5%,11.5%,64.3%,11.9%,0.0%,12.3%,868,90.9%,1.0%,8.1%,1123,22.4%,77.6%,0.0%,18.5%,41.5%,16.8%,23.2%,33.3%,25.9%,18.5%,22.2%,HK$15090,HK$12000,HK$9750,HK$15500,HK$12000,HK$9880,54hours,45hours,40hours,55hours,45hours,40hours,28.5%,23.5%,31.4%,17.6%,19.9%,7.6%,(N.A.)–Not available,79.6%,17.3%,3.1%,2.6,70.9%,10.9%,18.2%,HK$24630,HK$13690,HK$9040,HK$24630,HK$13690,HK$7820,62.5,100.0%,0.0%,45.8%,41.4%,11.4%,1.3%,0.0%,2.61rooms,1.00rooms,34m²,34m²,34m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2100,14.6%,88.0%,7.8%,2.8%,1.4%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate - Shek Wah House (Lei Pui Street 1990's)                                                                                                                                                                                    ,2231,851,12.1%,37.6%,32.6%,17.7%,39.4,41.8,40.4,37.4%,32.5%,92.5%,2.4%,5.1%,52.4%,41.7%,6.0%,31.5%,48.2%,20.3%,67.2%,17.2%,48.1%,9.0%,12.8%,12.8%,1068,92.1%,0.8%,7.0%,1163,29.7%,70.3%,2.0%,19.3%,34.9%,18.9%,24.9%,21.4%,35.3%,24.6%,18.6%,HK$17590,HK$13500,HK$9750,HK$18000,HK$13500,HK$10000,51hours,43hours,40hours,50hours,43hours,40hours,24.6%,30.9%,40.8%,8.3%,14.5%,5.6%,(N.A.)–Not available,52.7%,30.2%,17.1%,3.4,60.4%,31.0%,8.6%,HK$38250,HK$25000,HK$14480,HK$37240,HK$25000,HK$14480,60.6,95.7%,4.3%,20.6%,58.7%,17.9%,2.8%,0.0%,2.94rooms,0.86rooms,44m²,44m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1750,8.5%,94.2%,4.2%,1.6%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate - Shek Wing House (Lei Pui Street 2000's)                                                                                                                                                                                   ,2920,981,10.3%,43.6%,39.0%,7.2%,30.9,40.6,33.1,43.8%,36.4%,93.1%,2.4%,4.5%,44.1%,52.4%,3.4%,19.8%,49.0%,31.1%,53.8%,16.3%,40.0%,29.5%,0.0%,14.2%,1366,94.6%,0.0%,5.4%,1554,40.9%,59.1%,0.9%,19.4%,37.5%,19.9%,22.3%,36.7%,30.1%,11.6%,21.7%,HK$15000,HK$12000,HK$9000,HK$15000,HK$12000,HK$9000,50hours,45hours,40hours,50hours,45hours,40hours,27.4%,20.1%,38.4%,14.5%,21.6%,5.4%,(N.A.)–Not available,49.0%,32.1%,18.8%,3.6,83.2%,14.4%,2.4%,HK$31450,HK$23650,HK$13870,HK$31450,HK$23650,HK$13870,54.9,98.7%,1.3%,12.6%,75.0%,12.5%,0.0%,0.0%,2.96rooms,0.82rooms,43m²,34m²,34m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2350,10.0%,96.2%,3.8%,0.0%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate - Shek Foon House (Tai Pak Tin Street 2000's)                                                                                                                                                                               ,2279,983,22.6%,31.2%,35.1%,11.1%,38.7,36.7,37.5,34.1%,21.1%,82.6%,9.8%,7.6%,44.7%,49.4%,5.9%,31.1%,50.9%,17.9%,63.4%,11.4%,34.1%,22.9%,21.8%,9.8%,825,87.3%,0.0%,12.7%,1454,39.8%,60.2%,5.0%,17.5%,41.6%,16.1%,19.9%,36.0%,30.5%,9.8%,23.6%,HK$16500,HK$13000,HK$9880,HK$16500,HK$13000,HK$9880,54hours,45hours,40hours,54hours,45hours,40hours,32.5%,18.7%,46.5%,10.0%,20.0%,4.7%,(N.A.)–Not available,74.9%,17.3%,7.8%,2.7,55.8%,18.6%,25.6%,HK$20260,HK$15000,HK$9860,HK$20260,HK$15000,HK$9860,50.3,97.1%,2.9%,50.1%,43.8%,6.1%,0.0%,0.0%,2.33rooms,0.87rooms,30m²,22m²,22m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1780,11.5%,0.0%,74.3%,23.1%,2.6%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate - Shek Yan / Shek Kwong House (Lei Pui Street 2000's)                                                                                                                                                                       ,4897,854,11.3%,47.8%,35.6%,5.2%,31.6,31.5,31.5,45.7%,39.6%,85.8%,9.9%,4.4%,41.1%,55.2%,3.7%,19.3%,55.5%,25.2%,65.6%,10.2%,45.9%,26.6%,6.6%,10.8%,2658,97.1%,0.0%,2.9%,2239,39.2%,60.8%,2.6%,17.9%,45.5%,14.0%,20.1%,38.9%,26.7%,14.9%,19.5%,HK$16250,HK$13000,HK$9250,HK$16500,HK$13000,HK$9250,50hours,44hours,39hours,50hours,44hours,39hours,30.5%,18.6%,42.2%,10.6%,19.9%,8.7%,(N.A.)–Not available,35.9%,37.1%,27.0%,3.8,75.6%,21.3%,3.2%,HK$39000,HK$28150,HK$18000,HK$39000,HK$28150,HK$18000,53.2,97.6%,2.4%,9.1%,66.1%,23.2%,1.6%,0.0%,3.15rooms,0.82rooms,43m²,43m²,34m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2620,9.2%,95.8%,1.5%,1.9%,0.8%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Lei (II) Estate - Shek Fook / Shek Hei House (Tai Pak Tin Street 2000's)                                                                                                                                                                    ,1361,928,7.1%,17.6%,45.6%,29.8%,57.0,55.5,56.5,28.2%,19.4%,80.9%,19.1%,0.0%,41.1%,55.9%,3.0%,43.0%,42.5%,14.5%,67.2%,15.5%,50.0%,34.5%,0.0%,0.0%,508,94.1%,0.0%,5.9%,853,15.9%,84.1%,0.0%,14.2%,35.2%,20.1%,30.5%,18.3%,30.5%,19.3%,31.9%,HK$16000,HK$13260,HK$10000,HK$16000,HK$13260,HK$10000,50hours,43hours,37hours,50hours,43hours,37hours,31.5%,8.2%,61.1%,11.2%,19.5%,0.0%,(N.A.)–Not available,93.0%,7.0%,0.0%,1.6,31.8%,7.1%,61.1%,HK$15750,HK$7030,HK$6530,HK$15750,HK$7030,HK$6530,59.8,100.0%,0.0%,79.2%,15.3%,5.5%,0.0%,0.0%,1.95rooms,1.21rooms,21m²,16m²,16m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1120,16.1%,80.7%,11.1%,7.1%,1.2%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) On Yam Estate - Hong Yam House (On Chuk Street 1990's)                                                                                                                                                                                           ,1912,862,7.4%,27.6%,41.3%,23.7%,53.5,46.7,48.2,35.4%,29.8%,97.3%,2.2%,0.5%,56.6%,39.4%,4.0%,29.7%,54.7%,15.6%,75.2%,8.0%,36.1%,25.6%,3.8%,26.5%,957,93.3%,0.0%,6.7%,955,23.5%,76.5%,4.4%,14.9%,37.3%,15.2%,28.2%,19.9%,44.3%,22.3%,13.6%,HK$15000,HK$11000,HK$8600,HK$15000,HK$11500,HK$9000,49hours,43hours,35hours,48hours,43hours,34hours,34.6%,16.6%,69.7%,5.3%,7.4%,1.1%,(N.A.)–Not available,68.4%,21.2%,10.4%,2.8,62.9%,17.2%,19.9%,HK$28460,HK$18280,HK$9550,HK$28460,HK$16290,HK$9000,63.2,100.0%,0.0%,30.3%,53.0%,16.6%,0.0%,0.0%,2.82rooms,1.00rooms,44m²,35m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2250,12.3%,88.8%,5.2%,4.6%,1.4%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) On Yam Estate - Shing Yam House (On Chuk Street 1990's)                                                                                                                                                                                          ,1967,761,13.1%,30.5%,35.7%,20.6%,43.9,43.0,43.2,27.6%,28.9%,91.2%,4.5%,4.3%,54.9%,38.3%,6.8%,31.5%,57.2%,11.2%,78.4%,4.1%,55.0%,20.3%,6.9%,13.8%,948,94.0%,0.0%,6.0%,1019,30.1%,69.9%,2.3%,18.4%,38.8%,17.6%,22.9%,30.4%,33.1%,25.5%,11.0%,HK$18000,HK$12700,HK$10000,HK$18000,HK$13120,HK$10250,57hours,45hours,40hours,55hours,44hours,40hours,26.3%,25.3%,48.1%,7.9%,15.8%,2.9%,(N.A.)–Not available,54.6%,27.1%,18.2%,3.4,51.5%,41.9%,6.7%,HK$36000,HK$25490,HK$13290,HK$34990,HK$25250,HK$13290,65.0,98.1%,1.9%,20.3%,72.9%,6.8%,0.0%,0.0%,2.87rooms,0.84rooms,44m²,44m²,35m²,0.0%,0.0%,97.7%,2.3%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2250,8.5%,96.8%,1.4%,1.8%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) On Yam Estate - Cheung Yam House (On Chuk Street 1990's)                                                                                                                                                                                         ,1978,866,5.7%,30.6%,40.6%,23.1%,47.7,46.8,47.4,35.2%,32.1%,99.0%,0.5%,0.6%,56.7%,39.5%,3.7%,34.0%,51.9%,14.1%,79.8%,9.6%,65.7%,19.7%,5.1%,0.0%,949,89.1%,0.0%,10.9%,1029,18.2%,81.8%,1.7%,16.6%,42.8%,20.0%,18.9%,28.7%,33.6%,25.5%,12.2%,HK$18000,HK$13000,HK$9750,HK$18000,HK$13230,HK$10000,50hours,44hours,40hours,50hours,44hours,40hours,19.2%,24.2%,55.3%,3.2%,5.0%,12.3%,(N.A.)–Not available,70.1%,15.1%,14.8%,3.0,57.7%,27.6%,14.7%,HK$36700,HK$22490,HK$11540,HK$36700,HK$22490,HK$11000,63.4,100.0%,0.0%,25.8%,56.3%,16.2%,1.7%,0.0%,2.89rooms,0.97rooms,44m²,44m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2280,10.8%,95.4%,1.6%,3.0%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) On Yam Estate - Kar Yam House (On Chuk Street 1990's)                                                                                                                                                                                            ,2200,932,9.0%,34.8%,36.7%,19.5%,42.0,45.0,42.9,42.2%,31.3%,97.4%,1.5%,1.1%,59.1%,37.1%,3.8%,29.7%,48.1%,22.2%,64.2%,12.2%,37.4%,20.9%,11.4%,18.1%,1106,90.5%,1.1%,8.4%,1094,20.9%,79.1%,2.6%,22.3%,35.3%,14.0%,25.8%,26.2%,40.6%,19.0%,14.2%,HK$16000,HK$12000,HK$9000,HK$16000,HK$12000,HK$9750,49hours,44hours,40hours,48hours,44hours,40hours,32.1%,25.5%,40.8%,11.3%,11.9%,10.6%,(N.A.)–Not available,52.5%,24.0%,23.5%,3.3,53.7%,30.2%,16.0%,HK$33800,HK$25350,HK$11500,HK$33800,HK$22900,HK$11500,63.5,100.0%,0.0%,22.3%,63.2%,14.5%,0.0%,0.0%,2.90rooms,0.87rooms,44m²,44m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2280,9.0%,95.6%,0.0%,4.4%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) On Yam Estate - Tak Yam House (On Chuk Street 1990's)                                                                                                                                                                                            ,1916,779,9.6%,19.2%,36.1%,35.2%,52.9,53.1,53.1,27.2%,26.5%,96.5%,3.0%,0.5%,56.4%,38.5%,5.1%,44.2%,44.6%,11.2%,88.4%,12.1%,58.5%,26.3%,0.0%,3.1%,711,85.9%,1.3%,12.8%,1205,18.7%,81.3%,2.5%,18.6%,40.2%,5.3%,33.3%,30.8%,42.2%,22.6%,4.4%,HK$18000,HK$12000,HK$8750,HK$18000,HK$12700,HK$9250,49hours,47hours,40hours,49hours,47hours,40hours,29.4%,21.3%,48.8%,7.5%,13.3%,9.2%,(N.A.)–Not available,73.6%,18.8%,7.7%,2.5,51.7%,18.1%,30.3%,HK$21990,HK$11740,HK$6500,HK$21990,HK$11740,HK$6490,70.3,100.0%,0.0%,35.8%,53.2%,11.0%,0.0%,0.0%,2.56rooms,1.01rooms,44m²,35m²,17m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1830,12.6%,90.7%,5.3%,2.8%,1.2%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) On Yam Estate - Chak Yam House (On Chuk Street 1990's)                                                                                                                                                                                           ,2080,921,7.6%,29.9%,38.0%,24.5%,48.7,50.0,49.2,43.3%,36.3%,93.8%,6.2%,0.0%,64.6%,33.4%,2.0%,32.7%,48.8%,18.5%,69.8%,5.0%,61.3%,18.9%,0.0%,14.9%,1025,91.3%,0.0%,8.7%,1055,21.0%,79.0%,6.0%,22.0%,36.1%,13.3%,22.7%,27.1%,46.2%,18.6%,8.0%,HK$17600,HK$13500,HK$10250,HK$17600,HK$13500,HK$10250,54hours,44hours,40hours,50hours,44hours,40hours,28.7%,24.5%,43.7%,10.1%,13.6%,8.1%,(N.A.)–Not available,51.0%,22.2%,26.8%,3.5,71.4%,21.9%,6.7%,HK$36240,HK$25000,HK$10640,HK$36240,HK$25000,HK$10640,65.4,100.0%,0.0%,11.5%,55.2%,20.1%,13.2%,0.0%,3.33rooms,0.96rooms,53m²,44m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2250,10.0%,93.0%,5.9%,1.1%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) On Yam Estate - Fung Yam House (On Chuk Street 1990's)                                                                                                                                                                                           ,1874,781,8.8%,30.1%,40.4%,20.7%,46.0,45.5,46.0,36.4%,36.3%,92.8%,0.0%,7.2%,66.1%,28.5%,5.4%,31.1%,51.9%,17.1%,45.5%,23.7%,30.0%,34.6%,0.0%,11.7%,751,88.8%,1.5%,9.7%,1123,20.3%,79.7%,2.7%,26.5%,44.5%,17.8%,8.5%,34.9%,26.9%,22.8%,15.4%,HK$20000,HK$12000,HK$10000,HK$20000,HK$12170,HK$10250,54hours,43hours,35hours,51hours,43hours,35hours,28.8%,24.8%,57.8%,3.8%,1.6%,11.9%,(N.A.)–Not available,53.3%,31.1%,15.6%,3.4,53.5%,35.8%,10.7%,HK$33250,HK$23740,HK$14000,HK$33250,HK$23740,HK$14000,63.4,98.2%,1.8%,12.5%,61.6%,24.2%,1.6%,0.0%,3.15rooms,0.94rooms,49m²,44m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2250,9.8%,82.9%,13.5%,3.6%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) On Yam Estate - Yiu Yam House (On Chuk Street 1990's)                                                                                                                                                                                            ,1912,856,11.2%,30.8%,35.8%,22.2%,42.2,43.8,43.3,39.7%,28.2%,94.8%,4.4%,0.8%,54.2%,43.0%,2.7%,37.0%,44.3%,18.7%,80.9%,5.7%,56.4%,21.7%,3.5%,12.7%,802,93.4%,1.4%,5.2%,1110,28.5%,71.5%,4.2%,16.2%,22.7%,21.7%,35.2%,22.7%,36.4%,19.2%,21.7%,HK$18000,HK$12400,HK$10000,HK$18000,HK$12700,HK$10250,50hours,43hours,39hours,49hours,43hours,39hours,33.2%,24.2%,43.9%,13.9%,11.7%,6.3%,(N.A.)–Not available,63.0%,25.9%,11.1%,3.0,53.4%,30.7%,15.9%,HK$28250,HK$18290,HK$8940,HK$28250,HK$18290,HK$8940,63.8,100.0%,0.0%,30.7%,57.7%,8.3%,3.3%,0.0%,2.79rooms,0.94rooms,44m²,35m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1970,10.9%,90.5%,4.8%,4.7%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Yam Estate - Yung Shek House (Lei Muk Road 2000's)                                                                                                                                                                                          ,1884,905,15.6%,31.1%,30.6%,22.7%,40.6,43.0,41.7,32.1%,16.0%,91.3%,5.1%,3.6%,52.8%,41.0%,6.2%,33.5%,51.5%,15.0%,61.5%,12.9%,44.7%,39.1%,3.2%,0.0%,847,93.3%,1.5%,5.2%,1037,33.5%,66.5%,1.3%,7.3%,47.3%,9.8%,34.2%,33.6%,23.6%,21.8%,20.9%,HK$15000,HK$11000,HK$8750,HK$15000,HK$11250,HK$9000,48hours,45hours,40hours,48hours,44hours,40hours,25.5%,30.5%,42.8%,7.2%,14.0%,5.4%,(N.A.)–Not available,81.6%,15.8%,2.6%,2.3,56.0%,12.7%,31.4%,HK$22500,HK$13990,HK$9500,HK$22500,HK$13490,HK$9500,58.1,100.0%,0.0%,88.6%,11.4%,0.0%,0.0%,0.0%,1.79rooms,0.78rooms,33m²,33m²,23m²,0.0%,0.0%,98.6%,1.4%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1950,13.3%,82.5%,6.0%,10.4%,1.1%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Yam Estate - Chi Shek House (Lei Muk Road 2000's)                                                                                                                                                                                           ,2207,1028,10.1%,35.5%,36.8%,17.6%,39.1,47.5,45.0,38.2%,28.0%,97.7%,2.3%,0.0%,56.8%,43.2%,0.0%,31.2%,49.8%,19.0%,72.3%,12.5%,37.5%,23.5%,13.7%,12.8%,1058,87.1%,0.0%,12.9%,1149,25.2%,74.8%,0.8%,12.1%,48.0%,24.6%,14.6%,38.3%,30.0%,15.2%,16.5%,HK$15000,HK$11000,HK$8750,HK$15000,HK$11000,HK$8750,48hours,43hours,35hours,48hours,43hours,35hours,25.4%,25.2%,45.5%,9.5%,13.6%,6.2%,(N.A.)–Not available,68.6%,31.4%,0.0%,2.8,71.1%,17.5%,11.3%,HK$26840,HK$16840,HK$11210,HK$26840,HK$16840,HK$11210,58.3,100.0%,0.0%,40.5%,54.2%,5.3%,0.0%,0.0%,2.61rooms,0.94rooms,34m²,34m²,34m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2250,12.3%,89.1%,5.1%,5.9%,0.0%
